"playoff","pt_seq","pop_mean","pop_sd","zscore","prob","prob_pct"
"y",-15,3.05735294117647,2.82783113724848,-16.0811653146133,8.53723566071851e-11,"0%"
"y",-14.9,3.05735294117647,2.82783113724848,-15.9811653146133,1.07502844176312e-10,"0%"
"y",-14.8,3.05735294117647,2.82783113724848,-15.8811653146133,1.35204559680611e-10,"0%"
"y",-14.7,3.05735294117647,2.82783113724848,-15.7811653146133,1.69836697956437e-10,"0%"
"y",-14.6,3.05735294117647,2.82783113724848,-15.6811653146133,2.13079010196435e-10,"0%"
"y",-14.5,3.05735294117647,2.82783113724848,-15.5811653146133,2.67004670227484e-10,"0%"
"y",-14.4,3.05735294117647,2.82783113724848,-15.4811653146133,3.34169047115491e-10,"0%"
"y",-14.3,3.05735294117647,2.82783113724848,-15.3811653146133,4.17717703499631e-10,"0%"
"y",-14.2,3.05735294117647,2.82783113724848,-15.2811653146133,5.21517597400563e-10,"0%"
"y",-14.1,3.05735294117647,2.82783113724848,-15.1811653146133,6.50316246710164e-10,"0%"
"y",-14,3.05735294117647,2.82783113724848,-15.0811653146133,8.09934541627874e-10,"0%"
"y",-13.9,3.05735294117647,2.82783113724848,-14.9811653146133,1.00749998586715e-09,"0%"
"y",-13.8,3.05735294117647,2.82783113724848,-14.8811653146133,1.25172844134605e-09,"0%"
"y",-13.7,3.05735294117647,2.82783113724848,-14.7811653146133,1.55326397660095e-09,"0%"
"y",-13.6,3.05735294117647,2.82783113724848,-14.6811653146133,1.92508821470778e-09,"0%"
"y",-13.5,3.05735294117647,2.82783113724848,-14.5811653146133,2.38301268621399e-09,"0%"
"y",-13.4,3.05735294117647,2.82783113724848,-14.4811653146133,2.94627016714586e-09,"0%"
"y",-13.3,3.05735294117647,2.82783113724848,-14.3811653146133,3.63822387958706e-09,"0%"
"y",-13.2,3.05735294117647,2.82783113724848,-14.2811653146133,4.48721681892253e-09,"0%"
"y",-13.1,3.05735294117647,2.82783113724848,-14.1811653146133,5.52758742317921e-09,"0%"
"y",-13,3.05735294117647,2.82783113724848,-14.0811653146133,6.80088240192627e-09,"0%"
"y",-12.9,3.05735294117647,2.82783113724848,-13.9811653146133,8.35730289243431e-09,"0%"
"y",-12.8,3.05735294117647,2.82783113724848,-13.8811653146133,1.02574263196147e-08,"0%"
"y",-12.7,3.05735294117647,2.82783113724848,-13.7811653146133,1.25742535282843e-08,"0%"
"y",-12.6,3.05735294117647,2.82783113724848,-13.6811653146133,1.53956390718671e-08,"0%"
