"team","conf","w","l","tm_pts","op_pts","ssn","playoff","conf_rank","pt_diff"
"Philadelphia 76ers","east","50","32",110.2,106.2,"1977","y",1,4
"Boston Celtics","east","44","38",104.5,106.5,"1977","y",4,-2
"New York Knicks","east","40","42",108.6,108.6,"1977","n",7,0
"Buffalo Braves","east","30","52",105,109.5,"1977","n",10,-4.5
"New York Nets","east","22","60",95.9,102.7,"1977","n",11,-6.8
"Houston Rockets","east","49","33",106.4,104.8,"1977","y",2,1.60000000000001
"Washington Bullets","east","48","34",105.5,104.5,"1977","y",3,1
"San Antonio Spurs","east","44","38",115,114.4,"1977","y",5,0.599999999999994
"Cleveland Cavaliers","east","43","39",102.1,101,"1977","y",6,1.09999999999999
"New Orleans Jazz","east","35","47",104.6,107.4,"1977","n",8,-2.80000000000001
"Atlanta Hawks","east","31","51",102.4,106.4,"1977","n",9,-4
"Philadelphia 76ers","east","55","27",114.7,109.6,"1978","y",1,5.10000000000001
"New York Knicks","east","43","39",113.4,114,"1978","y",5,-0.599999999999994
"Boston Celtics","east","32","50",105.7,107.7,"1978","n",8,-2
"Buffalo Braves","east","27","55",105.3,109,"1978","n",10,-3.7
"New Jersey Nets","east","24","58",106.7,112.5,"1978","n",11,-5.8
"San Antonio Spurs","east","52","30",114.5,111.1,"1978","y",2,3.40000000000001
"Washington Bullets","east","44","38",110.3,109.4,"1978","y",3,0.899999999999991
"Cleveland Cavaliers","east","43","39",104.4,103.9,"1978","y",4,0.5
"Atlanta Hawks","east","41","41",103.7,103.9,"1978","y",6,-0.200000000000003
"New Orleans Jazz","east","39","43",107.6,109.5,"1978","n",7,-1.90000000000001
"Houston Rockets","east","28","54",103.8,107.8,"1978","n",9,-4
"Washington Bullets","east","54","28",114.9,109.9,"1979","y",1,5
"Philadelphia 76ers","east","47","35",109.5,107.7,"1979","y",3,1.8
"New Jersey Nets","east","37","45",107.7,111.9,"1979","y",6,-4.2
"New York Knicks","east","31","51",107.7,111.1,"1979","n",7,-3.39999999999999
"Boston Celtics","east","29","53",108.2,113.3,"1979","n",10,-5.09999999999999
"San Antonio Spurs","east","48","34",119.3,114.1,"1979","y",2,5.2
"Houston Rockets","east","47","35",113.4,112.4,"1979","y",4,1
"Atlanta Hawks","east","46","36",109.1,107.1,"1979","y",5,2
"Detroit Pistons","east","30","52",110,112.7,"1979","n",8,-2.7
"Cleveland Cavaliers","east","30","52",106.5,110.2,"1979","n",9,-3.7
"New Orleans Jazz","east","26","56",108.3,114.6,"1979","n",11,-6.3
"Boston Celtics","east","61","21",113.5,105.7,"1980","y",1,7.8
"Philadelphia 76ers","east","59","23",109.1,104.9,"1980","y",3,4.19999999999999
"Washington Bullets","east","39","43",107,109.5,"1980","y",6,-2.5
"New York Knicks","east","39","43",114,115.1,"1980","n",7,-1.09999999999999
"New Jersey Nets","east","34","48",108.3,109.5,"1980","n",10,-1.2
"Atlanta Hawks","east","50","32",104.5,101.6,"1980","y",2,2.90000000000001
"Houston Rockets","east","41","41",110.8,110.6,"1980","y",4,0.200000000000003
"San Antonio Spurs","east","41","41",119.4,119.7,"1980","y",5,-0.299999999999997
"Indiana Pacers","east","37","45",111.2,111.9,"1980","n",8,-0.700000000000003
"Cleveland Cavaliers","east","37","45",114.1,113.8,"1980","n",9,0.299999999999997
"Detroit Pistons","east","16","66",108.9,117.2,"1980","n",11,-8.3
"Boston Celtics","east","62","20",109.9,104,"1981","y",1,5.90000000000001
"Philadelphia 76ers","east","62","20",111.7,103.8,"1981","y",3,7.90000000000001
"New York Knicks","east","50","32",107.9,106.3,"1981","y",4,1.60000000000001
"Washington Bullets","east","39","43",105.6,105.6,"1981","n",7,0
"New Jersey Nets","east","24","58",106.9,113,"1981","n",10,-6.09999999999999
"Milwaukee Bucks","east","60","22",113.1,105.9,"1981","y",2,7.19999999999999
"Chicago Bulls","east","45","37",109,107,"1981","y",5,2
"Indiana Pacers","east","44","38",107.6,106.2,"1981","y",6,1.39999999999999
"Atlanta Hawks","east","31","51",104.9,108,"1981","n",8,-3.09999999999999
"Cleveland Cavaliers","east","28","54",105.7,110.6,"1981","n",9,-4.89999999999999
"Detroit Pistons","east","21","61",99.7,106,"1981","n",11,-6.3
"Boston Celtics","east","63","19",112,105.6,"1982","y",1,6.40000000000001
"Philadelphia 76ers","east","58","24",111.2,105.5,"1982","y",3,5.7
"New Jersey Nets","east","44","38",106.7,106,"1982","y",4,0.700000000000003
"Washington Bullets","east","43","39",103.5,102.6,"1982","y",5,0.900000000000006
