"playoff","pt_seq","pop_mean","pop_sd","zscore","prob"
"y",-15,3.05735294117647,2.82783113724848,-16.0811653146133,8.53723566071856e-11
"y",-14.9,3.05735294117647,2.82783113724848,-15.9811653146133,1.07502844176312e-10
"y",-14.8,3.05735294117647,2.82783113724848,-15.8811653146133,1.35204559680611e-10
"y",-14.7,3.05735294117647,2.82783113724848,-15.7811653146133,1.69836697956438e-10
"y",-14.6,3.05735294117647,2.82783113724848,-15.6811653146133,2.13079010196436e-10
"y",-14.5,3.05735294117647,2.82783113724848,-15.5811653146133,2.67004670227485e-10
"y",-14.4,3.05735294117647,2.82783113724848,-15.4811653146133,3.34169047115492e-10
"y",-14.3,3.05735294117647,2.82783113724848,-15.3811653146133,4.17717703499633e-10
"y",-14.2,3.05735294117647,2.82783113724848,-15.2811653146133,5.21517597400565e-10
"y",-14.1,3.05735294117647,2.82783113724848,-15.1811653146133,6.50316246710168e-10
"y",-14,3.05735294117647,2.82783113724848,-15.0811653146133,8.09934541627878e-10
"y",-13.9,3.05735294117647,2.82783113724848,-14.9811653146133,1.00749998586716e-09
"y",-13.8,3.05735294117647,2.82783113724848,-14.8811653146133,1.25172844134606e-09
"y",-13.7,3.05735294117647,2.82783113724848,-14.7811653146133,1.55326397660096e-09
"y",-13.6,3.05735294117647,2.82783113724848,-14.6811653146133,1.92508821470779e-09
"y",-13.5,3.05735294117647,2.82783113724848,-14.5811653146133,2.383012686214e-09
"y",-13.4,3.05735294117647,2.82783113724848,-14.4811653146133,2.94627016714589e-09
"y",-13.3,3.05735294117647,2.82783113724848,-14.3811653146133,3.6382238795871e-09
"y",-13.2,3.05735294117647,2.82783113724848,-14.2811653146133,4.48721681892255e-09
"y",-13.1,3.05735294117647,2.82783113724848,-14.1811653146133,5.52758742317924e-09
"y",-13,3.05735294117647,2.82783113724848,-14.0811653146133,6.8008824019263e-09
"y",-12.9,3.05735294117647,2.82783113724848,-13.9811653146133,8.35730289243435e-09
"y",-12.8,3.05735294117647,2.82783113724848,-13.8811653146133,1.02574263196147e-08
"y",-12.7,3.05735294117647,2.82783113724848,-13.7811653146133,1.25742535282844e-08
"y",-12.6,3.05735294117647,2.82783113724848,-13.6811653146133,1.53956390718672e-08
"y",-12.5,3.05735294117647,2.82783113724848,-13.5811653146133,1.88271721384096e-08
"y",-12.4,3.05735294117647,2.82783113724848,-13.4811653146133,2.29955866493597e-08
"y",-12.3,3.05735294117647,2.82783113724848,-13.3811653146133,2.80527917762746e-08
"y",-12.2,3.05735294117647,2.82783113724848,-13.2811653146133,3.41806287053401e-08
"y",-12.1,3.05735294117647,2.82783113724848,-13.1811653146133,4.15964761835524e-08
"y",-12,3.05735294117647,2.82783113724848,-13.0811653146133,5.0559846474206e-08
"y",-11.9,3.05735294117647,2.82783113724848,-12.9811653146133,6.13801351317072e-08
"y",-11.8,3.05735294117647,2.82783113724848,-12.8811653146133,7.44257128055804e-08
"y",-11.7,3.05735294117647,2.82783113724848,-12.7811653146133,9.01345754617359e-08
"y",-11.6,3.05735294117647,2.82783113724848,-12.6811653146133,1.09026801360123e-07
"y",-11.5,3.05735294117647,2.82783113724848,-12.5811653146133,1.31719099281735e-07
"y",-11.4,3.05735294117647,2.82783113724848,-12.4811653146133,1.5894177332114e-07
"y",-11.3,3.05735294117647,2.82783113724848,-12.3811653146133,1.91558475557692e-07
"y",-11.2,3.05735294117647,2.82783113724848,-12.2811653146133,2.30589169632617e-07
"y",-11.1,3.05735294117647,2.82783113724848,-12.1811653146133,2.77236786272251e-07
"y",-11,3.05735294117647,2.82783113724848,-12.0811653146133,3.32918116731159e-07
"y",-10.9,3.05735294117647,2.82783113724848,-11.9811653146133,3.9929956264192e-07
