team,w,l,w/l%,conf,conf_rank,tm_pts,op_pts,pt_diff
Cleveland Cavaliers,57,25,.695,east,1,104.3,98.3,6.0
Toronto Raptors,56,26,.683,east,2,102.7,98.2,4.5
Miami Heat,48,34,.585,east,3,100.0,98.4,1.6
Atlanta Hawks,48,34,.585,east,4,102.8,99.2,3.6
Boston Celtics,48,34,.585,east,5,105.7,102.5,3.2
Charlotte Hornets,48,34,.585,east,6,103.4,100.7,2.7
Indiana Pacers,45,37,.549,east,7,102.2,100.5,1.7
Detroit Pistons,44,38,.537,east,8,102.0,101.4,0.6
Chicago Bulls,42,40,.512,east,9,101.6,103.1,-1.5
Washington Wizards,41,41,.500,east,10,104.1,104.6,-0.5
Orlando Magic,35,47,.427,east,11,102.1,103.7,-1.6
Milwaukee Bucks,33,49,.402,east,12,99.0,103.2,-4.2
New York Knicks,32,50,.390,east,13,98.4,101.1,-2.7
Brooklyn Nets,21,61,.256,east,14,98.6,106.0,-7.4
Philadelphia 76ers,10,72,.122,east,15,97.4,107.6,-10.2
Golden State Warriors,73,9,.890,west,1,114.9,104.1,10.8
San Antonio Spurs,67,15,.817,west,2,103.5,92.9,10.6
Oklahoma City Thunder,55,27,.671,west,3,110.2,102.9,7.3
Los Angeles Clippers,53,29,.646,west,4,104.5,100.2,4.3
Portland Trail Blazers,44,38,.537,west,5,105.1,104.3,0.8
Dallas Mavericks,42,40,.512,west,6,102.3,102.6,-0.3
Memphis Grizzlies,42,40,.512,west,7,99.1,101.3,-2.2
Houston Rockets,41,41,.500,west,8,106.5,106.4,0.1
Utah Jazz,40,42,.488,west,9,97.7,95.9,1.8
Denver Nuggets,33,49,.402,west,10,101.9,105.0,-3.1
Sacramento Kings,33,49,.402,west,10,106.6,109.1,-2.5
New Orleans Pelicans,30,52,.366,west,12,102.7,106.5,-3.8
Minnesota Timberwolves,29,53,.354,west,13,102.4,106.0,-3.6
Phoenix Suns,23,59,.280,west,14,100.9,107.5,-6.6
Los Angeles Lakers,17,65,.207,west,15,97.3,106.9,-9.6
